"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006778","porphyrin-containing compound metabolic process","33/4371","42/12348",0.785714285714286,2.21962937542896,5.86064475338193,1.25790057287676e-08,6.87820033249015e-05,6.42588576860099e-05,"15288/56199/14664/15467/19044/14151/26357/68066/22276/22275/216792/11656/74104/233016/67739/12892/11983/15368/17025/20739/11733/66154/20741/15199/18174/237926/11655/53328/394436/11306/15369/69772/109778",33
"GO:0048872","homeostasis of number of cells","181/4371","378/12348",0.478835978835979,1.35270342408297,5.15536990380016,2.7649853485531e-07,0.000755946994294417,0.000706235468238326,"15129/101488143/241525/15122/56199/216781/20533/12183/20679/56484/14151/67017/11518/12484/20514/19824/13828/21672/52065/19645/98366/16423/14055/100038882/226419/11656/53945/14766/19743/11717/21349/16590/67739/208638/14042/14255/18578/381305/114601/19746/11983/56419/17260/216892/13423/20239/15368/12772/83691/12442/21929/100502841/544763/56215/14792/26362/20677/68632/20739/11733/66154/230257/56417/17761/22761/12043/54324/76044/70026/13051/216635/227331/319817/100900/16909/12571/14645/18089/19056/78248/80859/20846/16452/93686/14460/18174/12978/16409/59308/14127/14381/69188/16453/16952/13829/245607/12765/20482/237339/12044/26934/67155/17289/16596/22695/215653/320405/97165/75974/15526/12151/20687/108670/14056/12818/20068/17480/72049/11655/14130/17356/320404/17863/17129/68926/110279/20850/14582/20849/105463053/11480/50875/15902/332579/74769/18795/16969/140795/271564/16889/210293/26422/18733/319757/54683/14062/17311/20044/50794/231670/238875/59003/11479/14732/16149/16825/317757/83396/14088/57916/15402/74008/14728/20851/17319/57432/16658/14314/15377/83945/83964/22142/102774/14461/24099/56532/20104/14284/14102/18015/11486",181
"GO:0042168","heme metabolic process","28/4371","37/12348",0.756756756756757,2.13782485299301,5.13075105719785,6.61521403229864e-07,0.000885955540762639,0.000827694575005022,"15288/56199/14664/19044/14151/26357/68066/22276/22275/216792/11656/74104/233016/67739/12892/11983/15368/17025/66154/15199/18174/11655/53328/394436/11306/15369/69772/109778",28
"GO:0034101","erythrocyte homeostasis","89/4371","165/12348",0.539393939393939,1.52377862357272,5.01376473495482,7.39020993451565e-07,0.000885955540762639,0.000827694575005022,"15129/101488143/241525/15122/56199/216781/20533/12183/20679/56484/14151/67017/11518/12484/20514/19824/13828/52065/19645/98366/100038882/226419/11656/19743/11717/21349/16590/67739/208638/114601/19746/11983/56419/13423/15368/544763/56215/26362/11733/66154/230257/56417/22761/76044/70026/216635/100900/16909/12571/14645/20846/16452/93686/14460/18174/14381/69188/13829/237339/26934/16596/22695/97165/15526/20687/20068/11655/17863/17129/20850/14582/105463053/11480/50875/15902/18795/16969/271564/20044/50794/59003/11479/16825/15402/20851/16658/102774/14461/20104",89
"GO:0030218","erythrocyte differentiation","84/4371","154/12348",0.545454545454545,1.54089973170275,4.99983143121092,8.10127597624944e-07,0.000885955540762639,0.000827694575005022,"15129/101488143/241525/15122/56199/216781/20533/12183/20679/56484/14151/67017/11518/20514/19824/13828/52065/19645/98366/100038882/226419/11656/19743/21349/16590/67739/208638/114601/19746/11983/56419/13423/15368/544763/56215/11733/66154/230257/56417/22761/76044/70026/216635/100900/16909/12571/14645/20846/16452/93686/14460/18174/14381/69188/13829/237339/26934/16596/22695/97165/15526/20687/11655/17863/17129/20850/14582/105463053/11480/50875/15902/18795/16969/271564/20044/50794/59003/11479/16825/15402/20851/16658/14461/20104",84
"GO:0002262","myeloid cell homeostasis","107/4371","209/12348",0.511961722488038,1.44628308151048,4.8166317243022,1.73232331977697e-06,0.00144333944814758,0.00134842458357915,"15129/101488143/241525/15122/56199/216781/20533/12183/20679/56484/14151/67017/11518/12484/20514/19824/13828/52065/19645/98366/100038882/226419/11656/19743/11717/21349/16590/67739/208638/18578/114601/19746/11983/56419/13423/15368/12772/544763/56215/26362/11733/66154/230257/56417/22761/76044/70026/216635/100900/16909/12571/14645/20846/16452/93686/14460/18174/12978/16409/14127/14381/69188/16952/13829/12765/237339/26934/17289/16596/22695/97165/15526/20687/20068/17480/11655/14130/320404/17863/17129/20850/14582/105463053/11480/50875/15902/74769/18795/16969/271564/16889/17311/20044/50794/59003/11479/16825/14088/15402/14728/20851/16658/83964/102774/14461/20104/18015",107
"GO:0006779","porphyrin-containing compound biosynthetic process","24/4371","31/12348",0.774193548387097,2.18708349015874,4.8984758627054,2.11168902435638e-06,0.00144333944814758,0.00134842458357915,"15288/56199/14664/19044/14151/26357/68066/22276/22275/216792/11656/74104/12892/11983/17025/20739/11733/66154/20741/18174/237926/11655/53328/11306",24
"GO:0033014","tetrapyrrole biosynthetic process","24/4371","31/12348",0.774193548387097,2.18708349015874,4.8984758627054,2.11168902435638e-06,0.00144333944814758,0.00134842458357915,"15288/56199/14664/19044/14151/26357/68066/22276/22275/216792/11656/74104/12892/11983/17025/20739/11733/66154/20741/18174/237926/11655/53328/11306",24
"GO:0033013","tetrapyrrole metabolic process","34/4371","50/12348",0.68,1.92098833218943,4.83029013045539,2.64758126574292e-06,0.00148892838771024,0.00139101556723478,"15288/56199/14664/15467/19044/14151/26357/68066/22276/22275/216792/11656/74104/233016/67739/12892/11983/15368/17025/20739/11733/66154/20741/15199/18174/237926/11655/53328/394436/11306/15369/69772/67096/109778",34
"GO:0006911","phagocytosis, engulfment","35/4371","52/12348",0.673076923076923,1.90143075867167,4.82173622981144,2.7229853469463e-06,0.00148892838771024,0.00139101556723478,"12491/12725/56208/11801/216190/16016/27403/14131/56644/19261/140580/17304/276891/16414/16409/14127/234779/12266/224840/14130/75415/14129/17167/11687/380795/83433/20288/227753/83382/56792/19016/219149/11629/11303/14461",35
"GO:0010324","membrane invagination","43/4371","69/12348",0.623188405797101,1.76049655337054,4.68912302465931,4.54269436914576e-06,0.00225813207368082,0.00210963595918319,"12491/12725/218503/56208/11801/216190/68166/16016/27403/14131/214459/56644/19261/140580/17304/276891/68953/11848/16414/16409/14127/234779/12266/224840/14130/235406/75415/14129/17167/11687/380795/20877/83433/20288/227753/83382/73178/56792/19016/219149/11629/11303/14461",43
"GO:0099024","plasma membrane invagination","39/4371","61/12348",0.639344262295082,1.80613657076634,4.6719904163164,5.11119017166803e-06,0.0023289989882234,0.00217584262307938,"12491/12725/56208/11801/216190/68166/16016/27403/14131/56644/19261/140580/17304/276891/11848/16414/16409/14127/234779/12266/224840/14130/235406/75415/14129/17167/11687/380795/20877/83433/20288/227753/83382/56792/19016/219149/11629/11303/14461",39
"GO:0044090","positive regulation of vacuole organization","23/4371","31/12348",0.741935483870968,2.09595501140213,4.52243604975624,1.20028943908201e-05,0.00504860204069264,0.00471660295373684,"22241/54673/56208/329015/50883/18718/52639/170822/209131/54636/54396/11920/19056/117150/15944/12306/14824/16145/108083/69150/94178/76561/69807",23
"GO:0030099","myeloid cell differentiation","193/4371","432/12348",0.446759259259259,1.26208724166857,4.10462832295691,3.22699227942749e-05,0.0126037098456497,0.0117748823549336,"15129/101488143/241525/15122/70564/56199/216781/20533/15467/12183/20679/56484/14151/67017/22042/11518/26357/20514/19824/99375/13828/14281/52065/19645/17268/98366/100038882/226419/11656/22228/12349/19743/233016/21349/16590/18708/328572/67739/208638/68259/12262/114601/15405/19746/11983/56419/17260/18472/13423/18718/230721/15368/69656/109801/98386/229323/544763/56215/66193/16476/16477/11733/16391/66154/18854/12394/230257/56417/226691/22761/76044/70026/68235/53621/11820/216635/210710/100900/246746/16909/12571/14645/18089/14104/12675/20846/54411/16452/93686/14460/18174/12978/16409/14127/14381/71982/69188/13829/20302/237339/26934/16596/22695/23845/16878/215653/242687/212937/97165/12400/15242/15526/12370/20687/110794/17002/108670/18018/12306/23991/17480/11655/18148/320404/17082/170741/17863/17129/20850/14582/27999/24108/105463053/11480/50875/11757/15902/15900/442827/18795/16969/22177/12768/271564/16889/209446/18733/108655/17311/20044/17869/50794/15404/83433/12577/233328/26365/59003/11479/21873/109711/229700/19152/16149/18003/16825/21813/317757/56792/19016/14159/15402/21943/18035/24067/20851/12770/16658/14184/16168/70673/18750/14461/72147/226421/11501/20104/14284/14102/18015/20377/53314/17342",193
"GO:0061484","hematopoietic stem cell homeostasis","22/4371","31/12348",0.709677419354839,2.00482653264552,4.14639623680707,5.83208054815701e-05,0.0210006619366342,0.0196196458588699,"14766/14042/83691/20677/68632/56417/54324/78248/59308/245607/67155/320405/12151/68926/20849/140795/26422/231670/83396/14314/15377/14461",22
"GO:0002263","cell activation involved in immune response","128/4371","274/12348",0.467153284671533,1.31970001352644,3.96135425016748,6.34668226508615e-05,0.0210006619366342,0.0196196458588699,"54644/22042/57261/224860/12515/16590/18708/328572/381305/13026/72103/20442/15368/12772/21929/16391/64930/70110/73747/105440/77727/17685/56644/11820/56480/13051/319817/14191/18089/80859/20556/17305/16452/107823/16414/214084/14460/16409/14127/16971/50931/237877/19883/16453/16952/16783/56708/234779/20302/103743/27278/56048/16431/18861/75974/16159/15894/56715/214968/18607/378460/74732/382051/14824/17863/16852/20351/68891/110279/20850/27103/20849/15900/16854/442827/16415/14126/22177/18754/210293/18806/14991/108655/75725/17688/17131/16153/16190/11745/69150/83433/26365/20947/71675/238875/16162/17916/16362/16149/26904/56468/235587/232811/22318/246256/21946/14159/75698/14728/16161/17221/12487/20910/22724/17474/56743/18124/14461/11977/57757/243910/14125/22256/20104/64685/11486/53314/18173",128
"GO:0042886","amide transport","121/4371","257/12348",0.470817120622568,1.33005028722202,3.95791895812886,6.52910118732225e-05,0.0210006619366342,0.0196196458588699,"56199/109689/64008/26357/72472/16443/68066/22228/12349/57738/108052/56325/20501/70456/19653/18640/11799/27416/209837/18669/20677/26921/214597/76055/71764/213993/11305/15161/73095/18189/67623/15378/235442/19156/11689/108116/14645/19056/21354/17250/21355/11750/19218/16452/53322/18751/214084/16971/16952/56708/11826/16878/64384/12290/67041/26383/380714/268860/12796/68018/26457/11307/56205/239273/56615/69227/20913/19326/93692/15107/384783/277978/20201/18795/16973/18754/18830/231999/54393/268379/12753/74551/16438/56508/26874/16847/223775/15364/19712/69597/15194/12494/68667/16149/81535/52055/67151/13350/667118/19016/74998/216856/18642/21943/320790/73132/16181/93691/12361/20502/19726/11303/18576/14672/28240/18575/380752/67389/244238/65221/20202",121
"GO:0002444","myeloid leukocyte mediated immunity","54/4371","99/12348",0.545454545454545,1.54089973170275,3.99977330277856,7.16710767480051e-05,0.0217720804254496,0.0203403354069046,"16590/15368/12772/16016/17423/14131/13035/228607/13051/14191/50701/16414/17969/214084/14460/16409/14127/69188/20302/27278/12266/56200/56715/11421/14130/18607/378460/74732/68891/110279/332579/14129/442827/16415/230073/14126/22177/18806/16190/380795/11745/69150/217304/17916/58218/56792/22318/246256/14159/20910/56743/18124/14461/14125",54
"GO:0048514","blood vessel morphogenesis","208/4371","476/12348",0.436974789915966,1.23444628366103,3.86132375267242,8.38355452665124e-05,0.0229116428351353,0.0214049595115912,"12491/242705/13197/11518/26357/239528/232341/192197/381290/17268/16423/22221/246707/15258/11600/12215/12490/14766/50785/14775/17872/21349/21928/17168/56208/23970/11555/17064/70945/15368/54601/15446/20684/20620/66923/12772/672511/12189/108961/12509/11909/16476/20677/16477/12767/19877/18854/12394/50767/353156/15370/21413/51801/13854/12771/14048/18186/16399/20315/18764/80898/11689/13058/13051/20317/19225/66515/14645/17304/14595/14205/20846/18054/14886/11848/66214/52679/21687/16414/18751/59308/11816/16971/67154/14268/19883/381823/16952/18803/74144/12765/18613/21810/109905/11826/16878/54598/242687/14367/12826/77446/20698/236511/57257/14235/15242/17999/99929/12266/16159/12370/16451/12306/23991/17395/12796/17125/11421/18607/14824/114715/13805/20351/17129/15200/13844/94192/17975/13713/16854/12168/74769/27494/69601/16973/15410/14370/269878/20496/414758/319757/19274/17131/16153/15400/11745/22341/14164/15404/228852/12654/18816/11852/15234/13846/26365/16847/15364/18792/11607/15586/330267/68545/229700/238328/13609/21813/21752/13655/93840/19016/14472/15402/14083/230917/320790/76905/21390/239719/14360/18741/21872/83964/67784/72630/14254/66864/23876/18750/74030/12778/14461/94352/18576/99683/14182/57278/71602/107589/11501/13138/65255/15442/18015/70560/21954/12628/17390",208
"GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I","11/4371","12/12348",0.916666666666667,2.58956760466712,4.07787376174589,8.79927760676373e-05,0.0229116428351353,0.0214049595115912,"14972/17476/14131/19141/65972/73149/14127/26888/14129/269799/98682",11
"GO:0046501","protoporphyrinogen IX metabolic process","11/4371","12/12348",0.916666666666667,2.58956760466712,4.07787376174589,8.79927760676373e-05,0.0229116428351353,0.0214049595115912,"15288/15467/19044/14151/26357/22276/22275/11656/12892/17025/11655",11
"GO:0002366","leukocyte activation involved in immune response","126/4371","271/12348",0.464944649446494,1.31346065691268,3.86224200621801,9.35939001803733e-05,0.0232623384630128,0.0217325931854235,"54644/22042/57261/224860/12515/16590/18708/328572/381305/13026/72103/20442/15368/12772/21929/16391/64930/70110/73747/105440/77727/17685/56644/56480/13051/319817/14191/18089/80859/20556/17305/16452/107823/16414/214084/14460/16409/14127/50931/237877/19883/16453/16952/16783/56708/234779/20302/103743/27278/56048/16431/18861/75974/16159/15894/56715/214968/18607/378460/74732/382051/14824/17863/16852/20351/68891/110279/20850/27103/20849/15900/16854/442827/16415/14126/22177/18754/210293/18806/14991/108655/75725/17688/17131/16153/16190/11745/69150/83433/26365/20947/71675/238875/16162/17916/16362/16149/26904/56468/235587/232811/22318/246256/21946/14159/75698/14728/16161/17221/12487/20910/22724/17474/56743/18124/14461/11977/57757/243910/14125/22256/20104/64685/11486/53314/18173",126
"GO:0006783","heme biosynthetic process","19/4371","26/12348",0.730769230769231,2.06441053798638,4.02167126965796,0.000100437849728965,0.0238780070573035,0.0223077750450649,"15288/56199/14664/19044/14151/26357/68066/22276/22275/216792/11656/12892/11983/17025/66154/18174/11655/53328/11306",19
"GO:0098754","detoxification","53/4371","98/12348",0.540816326530612,1.52779684282773,3.8829617532974,0.000112420242645673,0.0256130786161059,0.0239287472613795,"12491/70564/26462/64008/14651/26357/12359/21672/14528/14775/74104/22782/60599/66447/109801/18669/13861/226781/18712/140742/11668/19225/14782/17250/17523/20519/18104/11816/11532/19765/230784/69227/20201/11757/76650/15439/50493/18754/54683/232223/67305/11758/14088/14768/18400/68977/23876/14778/11977/14871/14874/18173/20202",53
"GO:0002819","regulation of adaptive immune response","94/4371","195/12348",0.482051282051282,1.36178660049628,3.76946196806547,0.000143486436748876,0.0313833534457141,0.0293195653702019,"58185/15042/54644/22042/12484/230979/57261/12515/328572/381305/110557/17260/15040/72103/54123/12772/74048/21929/14972/16016/73747/433693/14131/77727/15015/74126/13136/17685/56644/16177/319817/19056/80859/21355/67742/16452/107823/18761/15018/14127/50931/237877/16453/16952/56708/12946/214855/14367/244202/18861/12266/16159/72049/14130/17082/16852/13844/20850/27103/332579/14129/18783/329260/13482/14991/11687/14998/17131/16190/380795/15064/83433/26365/12479/16362/68667/16149/56468/317757/235587/232811/75698/16161/17319/17221/12487/22724/243910/14125/24099/56532/11486/14347/18173",94
"GO:0042440","pigment metabolic process","34/4371","57/12348",0.596491228070175,1.68507748437669,3.83738032143823,0.000157405817730262,0.0321188238449334,0.0300066707964929,"15288/56199/14664/19044/14151/26357/68066/22276/22275/216792/11656/74104/233016/67739/12892/11983/15368/17025/66154/12043/72433/15199/18174/11655/53328/394436/72993/320129/11306/15369/69772/11977/109778/73822",34
"GO:0061644","protein localization to CENP-A containing chromatin","12/4371","14/12348",0.857142857142857,2.42141386410432,3.93898134692339,0.00015859697216774,0.0321188238449334,0.0300066707964929,"319172/319158/97122/319155/320332/326619/319157/12615/319159/69386/326620/100041230",12
"GO:0009636","response to toxic substance","82/4371","167/12348",0.491017964071856,1.38711732334918,3.72829871799564,0.000173517192776597,0.0338854289322296,0.0316571028776249,"12491/70564/26462/14151/64008/14651/26357/12359/21672/14281/14528/14775/17711/74104/22782/60599/66447/12892/109801/17025/22785/68943/243725/18669/13861/226781/20522/18712/12043/11863/140742/11668/22590/19225/14782/17250/13435/17523/20519/268697/214084/18104/11816/16819/64704/11532/20302/19765/230784/330260/50500/19361/11655/69227/20201/11757/76650/15439/50493/18754/18227/54683/394436/20845/232223/67305/11758/14088/14768/18400/68977/11898/23876/12737/14778/11977/233071/14102/14871/14874/18173/20202",82
"GO:1903131","mononuclear cell differentiation","208/4371","482/12348",0.431535269709544,1.21907973241214,3.63182471901863,0.000200024853245967,0.0377150309499636,0.0352348679783185,"58185/229473/15467/207952/56484/54644/26357/12484/21672/14281/13024/19645/22228/207304/57261/224860/12515/16590/18708/328572/69754/21940/14255/381305/12262/56419/17260/20442/16205/69656/66923/12772/74048/269023/12193/21929/56215/26362/20869/11909/16476/20677/16391/12394/64930/12393/226691/15976/105440/12043/13653/77727/19934/20230/232413/74126/17685/11352/19156/11820/211651/56480/319817/210710/12571/18089/11920/19056/14104/80859/17305/11848/16452/14460/12978/16409/14127/14025/14375/19883/16453/16952/56708/234779/17095/74734/237339/65963/67155/17289/16878/103743/56048/12144/16431/14367/75974/12400/16186/15242/12151/16159/12370/20687/110794/252838/108670/18018/72057/11461/14056/18514/228361/16157/16450/16071/18148/320404/17082/382051/17863/16852/50932/20351/20850/24108/20849/27362/15902/15900/56310/18795/16145/16969/22324/271564/16889/12399/14370/210293/13482/18733/14998/108655/66058/75725/17131/16153/16190/17869/15064/15404/27215/67596/83433/16847/16162/12479/16362/74039/14369/19152/16149/56468/21813/317757/56335/13655/19016/21946/14159/16818/14728/16161/20851/320790/16169/17221/57432/16658/12487/22724/16168/83945/70673/13039/17474/12769/18750/14461/72147/11977/28240/57757/12477/59009/243910/11501/24099/56532/22361/20104/14284/14102/20377/11486/53314/14347",208
"GO:1903707","negative regulation of hemopoiesis","53/4371","100/12348",0.53,1.49724090597117,3.69560538711811,0.00022340300939969,0.0404082467569526,0.037750976304526,"229473/99375/21672/12515/18708/69754/14255/381305/12262/269023/12394/22761/21807/232413/319817/12571/16453/16952/20302/65963/12400/15526/17002/15944/170741/16852/20850/15902/442827/12399/66058/17131/16190/17869/15404/26365/21873/16362/16149/56468/21946/14728/57432/16658/22724/70673/14461/72147/57757/12477/243910/18015/20377",53
"GO:0045647","negative regulation of erythrocyte differentiation","10/4371","11/12348",0.909090909090909,2.56816621950459,3.85154508384104,0.000229088450889819,0.0404082467569526,0.037750976304526,"241525/16909/22695/15526/20850/50794/16825/15402/20851/16658",10
"GO:0097242","amyloid-beta clearance","24/4371","37/12348",0.648648648648649,1.83242130256543,3.75360624874474,0.000245757558304569,0.0410410859679027,0.0383421996308151,"12491/233489/67300/19877/27403/11820/17250/16414/16409/11816/16971/271457/50500/12266/19326/17167/17380/22177/15925/83433/20288/228357/13121/12759",24
"GO:0002474","antigen processing and presentation of peptide antigen via MHC class I","23/4371","35/12348",0.657142857142857,1.85641729581331,3.75568226426739,0.000248370936482397,0.0410410859679027,0.0383421996308151,"15042/110557/15040/14972/17476/14131/15015/19141/80898/21354/65972/21355/73149/15018/14127/26888/14129/15925/14991/15064/269799/98682/213233",23
"GO:0002274","myeloid leukocyte activation","104/4371","222/12348",0.468468468468468,1.32341538518615,3.59939668583822,0.000260284025759299,0.0410410859679027,0.0383421996308151,"20617/11487/52065/16590/16534/15368/12772/16476/15370/70110/14131/13035/232413/11820/13051/246746/14191/17394/11920/17250/17988/16452/16414/214084/14460/12978/16409/14127/69188/13032/14268/19883/16952/12765/234779/20302/74734/27278/20698/108670/53856/15944/19267/56715/12796/18607/378460/74732/17082/170741/14824/68891/110279/16478/13011/24108/442827/16415/14126/231130/18783/22177/18754/18806/18733/108655/16153/16190/11745/12362/57914/69150/83433/217304/12802/14289/17916/12479/11988/21813/317757/12259/56792/22318/246256/14159/11629/14728/66815/20910/16168/18828/17474/56743/18124/14461/14125/64685/53314/27007/217203/12759/69847/18173",104
"GO:0048002","antigen processing and presentation of peptide antigen","33/4371","56/12348",0.589285714285714,1.66472203157172,3.69040595406931,0.000270017752959699,0.0410410859679027,0.0383421996308151,"15042/71779/13034/110557/15040/14972/17476/14131/15015/19141/80898/72925/21354/65972/21355/73149/15018/14127/13040/14130/26888/14129/15925/14991/14998/15064/83433/269799/98682/16149/13039/213233/18173",33
"GO:0001525","angiogenesis","179/4371","410/12348",0.436585365853659,1.23334616736696,3.55695314629636,0.000270204662553858,0.0410410859679027,0.0383421996308151,"12491/242705/13197/11518/26357/239528/232341/192197/381290/17268/16423/22221/246707/15258/11600/12215/12490/14766/50785/14775/17872/21349/21928/56208/23970/11555/17064/70945/15368/54601/20684/20620/12772/672511/12189/108961/12509/11909/16476/12767/19877/18854/12394/50767/353156/15370/21413/51801/13854/12771/18186/16399/20315/80898/11689/13058/13051/20317/19225/14645/17304/14595/14205/20846/18054/14886/11848/66214/52679/21687/16414/18751/59308/67154/14268/19883/381823/16952/18803/74144/12765/18613/21810/11826/16878/54598/242687/14367/12826/20698/236511/57257/15242/12266/16159/12370/16451/12306/23991/17395/12796/17125/11421/18607/14824/114715/13805/20351/17129/15200/13844/94192/17975/13713/16854/12168/74769/27494/69601/15410/14370/20496/19274/16153/15400/11745/22341/14164/15404/228852/12654/11852/15234/13846/26365/16847/15364/18792/11607/15586/330267/68545/229700/238328/13609/21813/21752/13655/93840/19016/14472/15402/14083/230917/76905/21390/14360/18741/21872/83964/67784/72630/14254/66864/23876/18750/12778/14461/94352/18576/14182/57278/11501/13138/15442/18015/70560/12628/17390",179
"GO:0002886","regulation of myeloid leukocyte mediated immunity","32/4371","54/12348",0.592592592592593,1.67406390604743,3.67453746300954,0.000288966236455843,0.0427045238092041,0.0398962488056958,"15368/12772/16016/14131/228607/13051/14191/16414/14460/16409/14127/12266/56200/56715/18607/378460/68891/110279/14129/16415/230073/14126/22177/18806/16190/380795/69150/56792/14159/20910/14461/14125",32
"GO:0048821","erythrocyte development","31/4371","52/12348",0.596153846153846,1.68412438625205,3.65936851738882,0.000308543749691962,0.0434185316619972,0.0405633030754384,"15129/101488143/15122/56199/216781/20533/12183/20679/67017/13828/11656/19743/21349/19746/56419/544763/11733/230257/216635/14460/18174/14381/13829/237339/16596/11655/105463053/50875/16969/59003/20104",31
"GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","86/4371","179/12348",0.480446927374302,1.3572543260622,3.56391959706431,0.000309678627435605,0.0434185316619972,0.0405633030754384,"58185/15042/54644/22042/12484/57261/12515/328572/381305/110557/17260/15040/72103/12772/74048/21929/14972/16016/73747/14131/77727/15015/74126/13136/17685/56644/16177/319817/19056/80859/21355/16452/107823/18761/15018/14127/50931/237877/16453/16952/56708/12946/214855/14367/244202/18861/12266/16159/72049/14130/17082/16852/13844/20850/332579/14129/18783/329260/13482/14991/14998/17131/16190/380795/15064/83433/26365/12479/16362/68667/56468/317757/235587/232811/75698/16161/17221/12487/22724/243910/14125/24099/56532/11486/14347/18173",86
"GO:0007204","positive regulation of cytosolic calcium ion concentration","55/4371","106/12348",0.518867924528302,1.46579298377384,3.5650942753717,0.000350102293298201,0.0478589834938641,0.0447117481414781,"12491/12484/110213/12291/20320/12772/12767/18854/54199/76055/74585/12771/12043/194352/18764/19091/13136/11352/13051/19218/16452/16440/13982/14460/16974/16971/16453/12765/234779/20302/69227/12768/14062/16438/14747/319430/14289/20947/11607/320360/16867/12494/385643/68667/317757/18442/22068/18441/21390/12770/14293/23833/12769/12778/14461",55
